LOG1;DATA_HORA
AV.SERTORIO;20090108 08:40
R.ANCHIETA;20090108 08:50
AV.NONOAI;20090108 09:00
AV.JULIO DE CASTILHOS;20090108 10:20
AV.GOETHE;20090108 10:20
AV.PROF OSCAR.PEREIRA;20090108 10:30
AV.OSVALDO ARANHA;20090108 10:35
AV.PROF OSCAR.PEREIRA;20090108 10:50
R.DR.FLORES;20090108 11:20
AV.CRISTOVAO COLOMBO;20090108 11:30
AV.FARRAPOS;20090108 11:50
R.DONA ADDA MASCARENHAS DE MORAES;20090108 12:40
AV.ICARAI;20090108 13:25
R.ALDO MENOTTI SIRANGELO;20090108 13:30
AV.JUCA BATISTA;20090108 14:05
AV.ASSIS BRASIL;20090108 14:27
R.DONA FIRMINA;20090108 14:28
R.PADRE CHAGAS;20090108 14:33
AV.VICENTE MONTEGGIA;20090108 14:40
R.GEN ANDRADE NEVES;20090108 15:00
AV.MAUA;20090108 15:15
AV.MANOEL ELIAS;20090108 15:15
AV.PROF OSCAR.PEREIRA;20090108 16:00
R.CEL MASSOT;20090108 16:30
AV.IPIRANGA;20090108 16:40
AV.CRISTOVAO COLOMBO;20090108 16:50
ESTR.JOAO DE OLIVEIRA REMIAO;20090108 17:00
R.DOM PEDRO II;20090108 17:00
AV.DIARIO DE NOTICIAS;20090108 17:10
AV.DA AZENHA;20090108 17:14
AV.DR.NILO PECANHA;20090108 17:30
AV.ICARAI;20090108 17:35
R.DR.MARIO TOTTA;20090108 17:45
R.MARIANTE;20090108 17:55
R.SAO JOSEMARIA ESCRIVA;20090108 18:00
PCA DOM PEDRO;20090108 18:15
AV.BENNO MENTZ;20090108 18:30
AV.IPIRANGA;20090108 19:00
R.PROF CRISTIANO FISCHER;20090108 19:45
AV.PROF OSCAR.PEREIRA;20090108 22:50
AV.ERICO VERISSIMO;20090108 22:50
AV.FARRAPOS;20090109 02:15
AV.SERTORIO;20090109 02:30
R.DR.SEBASTIAO LEAO;20090109 03:00
R.MARQUES DO POMBAL;20090109 03:00
AV.IPIRANGA;20090109 04:40
AV.IPIRANGA;20090109 05:30
R.GEN RONDON;20090109 06:30
AV.PROTASIO ALVES;20090109 06:30
AV.BALTAZAR.DE OLIVEIRA GARCIA;20090109 06:30
R.RIACHUELO;20090109 06:40
AV.PINHEIRO BORDA;20090109 07:30
AV.PROF OSCAR.PEREIRA;20090109 07:38
AV.INDEPENDENCIA;20090109 07:40
AV.BERLIM;20090109 07:50
R.CONGO;20090109 08:40
AV.PROF OSCAR.PEREIRA;20090109 08:45
R.GUADALAJARA;20090109 08:55
R.LA PLATA;20090109 09:00
R.VINTE QUATRO DE OUTUBRO;20090109 09:00
R.VOLUNTARIOS DA PATRIA;20090109 09:10
AV.CRISTOVAO COLOMBO;20090109 09:49
AV.IPIRANGA;20090109 09:50
AV.FARRAPOS;20090109 09:50
AV.SERTORIO;20090109 09:55
AV.SALVADOR.LEAO;20090109 10:15
AV.SATURNINO DE BRITO;20090109 10:20
AV.BENTO GONCALVES;20090109 10:40
AV.BENTO GONCALVES;20090109 11:40
R.DR.TIMOTEO;20090109 12:15
AV.PRAIA DE BELAS;20090109 12:30
AV.FARRAPOS;20090109 12:30
